hw_id,region_name,site_code,major_type,sub_major_type,item_desc,hw_brand_name,hw_model,hw_asset_num,hw_serial_num,hw_date_acq,hw_acq_val,hw_status,hw_host_name,hw_ip_add,hw_mac_add,hw_user_name,hw_primary_role,hw_memory,hdd_capacity,hdd_free_space,hdd_health,os_type,core_buid,rsu_fac,mv_dto,mv_maint,ims_aiu,dl_dto,dl_maint,dotnet,hw_antivi,ports_num,ports_working,ports_deffect,new_column,user_id
,16,1400,,CPU,CPU-PC,HP,Pro3000,PE 36394,SGH038PJXQ,08/11/10,,On Site,1400W020_01,10.14.1.76,6C-62-6D-68-88-01,,,2.87GB,119.00 GB,47.41GB,100%,Windows XP,OR/CR,1,,1,1,0,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 36194,CNK0340SY0,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Other Equipment,Keyboard,HP,Others,CI 19006,BAYJQ0GCPZ/9QP,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Other Equipment,Mouse,HP,Others,CI 19153,NA,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,DELL,Dell optiplex 360/330,PE 3645,FFZTS1S,06/19/07,,On Site,1400w009_03,10.14.1.77,00-1D-09-23-98-CC,,,0.98GB,14.60 GB,534GB,100%,Windows XP,OR/CR,,1,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 35924,3CQ030CT75,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Other Equipment,Keyboard,HP,Others,CI 25409,BEXHP0CCPAB1X3,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,Pro3000,PE 36006,SGH037TYF4,08/11/10,,On Site,1400w0020_1,10.14.1.56,6C-62-6D-68-93-08,,,2.87GB,1 TB,931GB,100%,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,,, Unreadable,HK162ABB,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Other Equipment,Keyboard,HP,Others,CI 19081,BAUJQ0GCPZ860F,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,Pro3000,PE 35660,SGH032PZ7Z,08/11/10,,On Site,1400w0014_10,10.14.1.75,6C-62-6D-4B-F2-FB,,,2.87GB,119.00 GB,104GB,100%,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 36192,CNK0340SWN,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Other Equipment,Keyboard,HP,Others,CI 15212,NA,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,DX2810,PE 33807,SGH9350PB9,06/08/09,,On Site,DIY1,10.14.1.80,00-24-81-84-29-5E,,,0.98GB,57.2GB,1.9GB ,100%,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 41911,3CQ8042F2G,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,DELL,Dell optiplex 360/330,PE 27002,HV89Z1S,,,Pull Out,DIY2,10.14.1.71,00-23-AE-63-4A-5C,,,3.46GB,148.00 GB,53.4GB,100%,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,Dell,,PE 2825,CNOWR979,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,HP DeskPro 400 G4,PE 41407,SGH808QN7Q,02/06/17,,On Site,1400w0001_rd,10.14.1.81,18-60-24-E5-5A-19,,,4.00 GB,1 TB,465.1 GB,100%,Windows 10 32Bit,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 36191,CNK0340SXO,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,Pro3000,PE 29883,SGH84700TY,,,Pull Out,1400w009_01,10.14.1.120,00-22-64-B7-74-F5,,,3.24GB,1 TB,900GB,100%,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 33394,CNC929NSF0,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,Pro3000,PE 36133,SGH037TYCZ,08/11/10,,On Site,1400w_001_1,10.14.1.84,6C-62-6D-68-91-D9,,,2.87GB,119.00 GB,109GB,1,Windows XP,OR/CR,,,,,,,v4.0,eScan,,,,,0
,16,1400,,Monitor,Monitor-LCD,HP,,PE 33038,CNC906QD4F,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,Pro3000, PE 35659 ,SGH032PZ72,,,On Site,,,,,,,,,,Windows XP,,,,,,,,,,,,,,0
,16,1400,,CPU,CPU-PC,HP,DX2810,PE 33819,SGH9350P9C,,,On Site,,,,,,,,,,Windows XP,,,,,,,,,,,,,,0
,16,1400,,UPS,UPS-PC,Powerware,, PE 00936 ,40290800703,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,Monitor,Monitor-LCD,Dell,,PE 29332,Unreadable,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
,16,1400,,UPS,UPS-SERVER,Smart,,PE 3750,5S803T38345 / 5S0751T22837,01/31/08,,On Site,,,,,,,,,,,,,,,,,,,,,,,,0
