hw_id,region_name,site_code,major_type,sub_major_type,item_desc,hw_brand_name,hw_model,hw_asset_num,hw_serial_num,hw_date_acq,hw_acq_val,hw_status,hw_host_name,hw_ip_add,hw_mac_add,hw_user_name,hw_primary_role,hw_memory,hdd_capacity,hdd_free_space,hdd_health,os_type,core_buid,rsu_fac,mv_dto,mv_maint,ims_aiu,dl_dto,dl_maint,dotnet,hw_antivi,ports_num,ports_working,ports_deffect,new_column,user_id
,19,0071,,,Switch,CISCO,CBS350-16T-2G,PE 47774,FOC2644YCKB,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,19,0071,,,Switch,CISCO,SF300-48,PE 31592,DNI19010F86,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,19,0099,,,Switch,CISCO,SF300-48,PE 31566,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,19,0098,,,Switch,CISCO,CATALIST 2960,PE 31141,FOC1148X0R4,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1308,,,Switch,CISCO,SF350-24,PE 45462,DNI24170982,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1306,,,Switch,CISCO,CBS350-48T,PE 47826,PZC27081D0W,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1308,,,Router,CISCO,CISCO 1841,PE 31514,FHK1448732J,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1308,,,Modem,,,,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1312,,,SDWAN,Fortinet,60F,PE 50182,FGT60FTK2309C9Q1,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1312,,,Switch,CISCO,SF350-24,PE 45461,DNI2417095U,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1316,,,Switch,CISCO,CBS350-24,PE 46631,FOC2551Y4Z1,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1320,,,Switch,CISCO,SF350,PE 855,F0C1148X0TU,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1320,,,Fortinet,,CISCO4221,,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1320,,,Modem,CONVERGE,,,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1336,,,Switch,CISCO,CATALYST 2950,PE 9429,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1337,,,Router ,Fortinet,FG-40F,PE 50042,FGT40FTK24042162,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1356,,,Router,Cisco,1841,PE 31533,FHK120823XK,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1356,,,Modem,,,,,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
,1,1364,,,Switch,CISCO,SF350-24,PE 46352,DNI225101E4,,,On Site,,,,,,,,,,,,,,,,,,,,,,,,
